"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3963620981387","14.9874493927126","17.1338439095551","17.5109023817511","15.5483138780804","13.1759545308158","13.0540690696972","13.2416208673862","14.8922098082515","15.5965082540353","16.2974611255338","17.6558632372378","17.4795502921148","16.1823488793703","13.0430359920285","11.5460620013165","12.3664483303712","10.0760634560669","10.7496624410616","10.799498200524","12.4688230870932","12.7138223459928","12.3948233277596","11.3581680555627","11.3720370882194","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","27.1060614396497","28.6841904355977","27.6752035716254","24.9557476298426","26.6117010295638","28.0299709023602","28.1148917913338","27.9150595858723","27.8562509114469","26.6949286045522","29.0459725972725","27.8651448622482","27.9770219416711","27.4961472075938","27.4889889197702","26.5159556634603","25.9129662728365","25.7431432883899","26.7415126309128","26.7868000822369","27.3859801501421","26.6436209356954","26.9355433008991","27.8736794915037","27.9721466441558","29.1580062157935","30.5971689632739","26.6991157257869","27.6421606866674","28.7747163971712","28.5566166014732","27.8459480322243","27.186253746829","25.2180674232384","25.0321295317184","26.2857181192964","27.8583006587141","26.4228370463514","25.4357297498259","26.0857745722645","26.9325147667092","27.0028123184603","26.4824992690869",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","12.9525996015547","14.2736570191788","16.0503677223963","13.4498227120978","",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","38.1337812297034","33.8210726212842","31.4341748938066","27.5700065090131","28.8124144905066","30.8409025003369","30.1947828783333","29.0720693509339","30.765418087183","32.2098618316173","32.66631750916","32.1193345065376","30.7618156018252","31.462837138968","35.7027385379949","36.3474249762928","34.8813414716035","29.2555664664689","27.8503221270668","31.8037043942677","27.8124894251224","25.126792969954","27.1960130792107","28.9930723438745","29.5506243557277","28.2591111830315","27.16761293176","28.2040621962332","24.6789313802717","27.3980745992785","30.3277474333206","29.7456090820347","28.7599773533931","27.3299541903939","23.1516918052661","21.5173160721646","24.4242116167711","26.6968345785938","27.5089101024665","27.1835575213791","29.3993066268417","30.0361526497104","29.7555981663479","27.6698679886656",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169977877105","54.6299332781384","60.4019934569532","58.109331166465","61.8835378515421","60.2548203971699","44.0563741288187","52.3684375791632","56.0265138898967","56.9182189644947","53.3628521772331","46.2033255675024","41.9330921928439","42.6435678702129","42.1679537698985","47.9315418514046","49.7609216143959","45.6782423367558","47.5244095549704","45.180052903576","45.2359835508797","44.1506064922529",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7520120174809","19.2241466662591","20.209552986729","16.9172110795014","18.5232144781417","21.712185305831","24.386649861103","26.2383265737354","27.084687755804","27.7299752177294","28.1372131604488","28.4284255205783","28.5772545670045","28.5616497223775","27.5678722962167","27.4749142839601","26.9409865024688","25.4077242038709","25.506803612245","23.8286690584956","24.4814091473313","23.8670178864359","22.9533327106507","23.7535886253159","22.9655210859374","23.4687213275448","22.4341167911667","23.025055723682","23.0184718848368","22.407038670305",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8437550367806","14.9240176087095","15.0672890885022","15.4949366544165","15.7803540103879","16.0357828783728","16.1672951911525","15.4735314793076","15.4327671138582","14.7664887100921","13.1256460606154","11.908853107908","11.0715796683925","10.6182471491429","10.1535313011382","9.98126871637019","10.1407794073814","10.3955176672591","11.0763337210625","11.6998176283166","12.6601582717327","12.3626363853047","11.1453411041301","12.4282261796617","12.7530228782248",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","55.804733387995","57.4119855604584","55.6823436041668","51.948335011045","57.7884032684955","63.351765470403","61.3246279614769","52.6015969127192","45.114929848499","43.0305884270422","39.8946494052195","34.7365493609981","35.9140646956833","36.3757817870922","38.331247733562","57.7346948934517","40.1644676981079","43.4184908642887","40.5569745425257","40.3347882309824","42.636636848242","43.9097564109778","44.6521229149531","39.8690549370564","43.764935367658","50.0023871323004","46.7474775211131","46.7936666635325","47.4009618137623","49.6124543754135","53.4141300489225","54.6274934051753","53.4190435691351","56.1453364049948","47.7153859142994","50.2255414479027","53.6045601718922","54.3526695200581","52.1738856667425","49.6681264002674","40.5909528609385","38.316262205666","40.9322379003297","44.6975923819219","42.5821217395376","36.4852622132868","42.9633701900342","48.8502397878411","44.9549856146962","42.3923459702305",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","51.6784594801877","57.0771206752701","56.5680617372237","54.2038149769832","51.9897136713276","43.3542449306312","41.0285717283492","42.5280347643157","46.9189575863441","44.5245160379612","42.1740430729321","47.1393240196274","51.0833289562507","47.7236418285053","",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968299416","47.8061321932459","46.0976480128857","44.0281237970279","41.2196656668996","40.3382267072576","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","23.1578477391434","22.4088763711802","23.4994644263761","24.0075527787773","25.0563816101503","23.9911813202287",
